type,title,director,cast,country,rating,duration,listed_in,year_added
Movie,Natascha Kampusch: The Whole Story,Alina Teodorescu,Not Available,United States,TV-14,51,Movies,2017.0
Movie,Ram Jaane,Rajiv Mehra,"Shah Rukh Khan, Juhi Chawla, Vivek Mushran, Pankaj Kapur, Puneet Issar, Tinnu Anand, Deven Verma, Gulshan Grover, Amrit Pal, Arun Bali",India,TV-14,142,"Dramas, International Movies, Music & Musicals",2017.0
Movie,The Devil's Mistress,Filip Renc,"Tatiana Pauhofová, Karl Markovics, Gedeon Burkhard, Simona Stasová, Martin Huba, Pavel Kríz, Zdenka Procházková, Anna Fialová, Lenka Vlasáková, Jirí Mádl","Czech Republic, Slovakia",TV-MA,110,"Dramas, International Movies",2017.0
Movie,Wild Oats,Andy Tennant,"Shirley MacLaine, Jessica Lange, Billy Connolly, Santiago Segura, Howard Hesseman, Matt Walsh, Jay Hayden, Rebecca Da Costa, Demi Moore","Germany, United States",PG-13,86,Comedies,2017.0
TV Show,All Hail King Julien: Exiled,Unknown,"Danny Jacobs, Andy Richter, Kevin Michael Richardson, India de Beaufort, Jeff Bennett, Maurice LaMarche",Unknown,TV-Y7,1 Season,"Kids' TV, TV Action & Adventure, TV Comedies",2017.0
Movie,Get Me Roger Stone,"Dylan Bank, Daniel DiMauro, Morgan Pehme",Roger Stone,United States,TV-MA,101,Documentaries,2017.0
Movie,Mindhorn,Sean Foley,"Julian Barratt, Andrea Riseborough, Essie Davis, Russell Tovey, Simon Farnaby, Steve Coogan, Richard McCabe, David Schofield, Nicholas Farrell, Jessica Barden",United Kingdom,TV-MA,88,"Comedies, Cult Movies, Independent Movies",2017.0
Movie,Sahara,Pierre Coré,"Robert Naylor, Angela Galuppo, Daniel Brochu, Mark Hauser, Andrew Shaver, Mathew Mackay, Richard Dumont, Brady Moffatt, Rick Jones, Nadia Verrucci, Sonja Ball","France, Canada",TV-Y7,86,Children & Family Movies,2017.0
Movie,"Norm Macdonald: Hitler's Dog, Gossip & Trickery",Liz Plonka,Norm MacDonald,United States,TV-MA,61,Stand-Up Comedy,2017.0
Movie,Handsome: A Netflix Mystery Movie,Jeff Garlin,"Jeff Garlin, Natasha Lyonne, Amy Sedaris, Steven Weber, Christine Woods, Eddie Pepitone, Timm Sharp, Brad Morris, Leah Remini, Ava Acres",United States,TV-MA,81,Comedies,2017.0
TV Show,Kazoops!,Unknown,"Reece Pockney, Scott Langley, Alex Babic, Gemma Harvey, Jessica Hann, Emma Tate",Australia,TV-Y,3 Seasons,Kids' TV,2017.0
Movie,Simplemente Manu NNa,"Jan Suter, Raúl Campos",Manu NNa,Mexico,TV-MA,72,Stand-Up Comedy,2017.0
Movie,The Mars Generation,Michael Barnett,"Neil deGrasse Tyson, Bill Nye, Michio Kaku",United States,TV-PG,98,"Children & Family Movies, Documentaries",2017.0
Movie,Maria Bamford: Old Baby,Jessica Yu,Maria Bamford,United States,TV-MA,64,Stand-Up Comedy,2017.0
Movie,A Yellow Bird,K. Rajagopal,"Sivakumar Palakrishnan, Huang Lu, Seema Biswas, Udaya Soundari, Nithiyia Rao, Indra Chandran","Singapore, France",TV-MA,111,"Dramas, Independent Movies, International Movies",2017.0
Movie,Chaahat,Mahesh Bhatt,"Naseeruddin Shah, Shah Rukh Khan, Pooja Bhatt, Anupam Kher, Ramya Krishnan, Avtar Gill, Mushtaq Khan",India,TV-14,148,"Dramas, International Movies, Romantic Movies",2017.0
Movie,English Babu Desi Mem,Praveen Nischol,"Shah Rukh Khan, Sonali Bendre, Rajeshwari, Saeed Jaffrey, Kiran Kumar, Baba Brahmbhatt, Ishita Haria, Sunny Singh, Gulshan Bawra",India,TV-14,163,"Comedies, Dramas, International Movies",2017.0
Movie,He Even Has Your Eyes,Lucien Jean-Baptiste,"Lucien Jean-Baptiste, Aissa Maiga, Zabou Breitman, Vincent Elbaz, Michel Jonasz, Naidra Ayadi, Marie-Philomène Nga, Bass Dhem, Delphine Théodore","France, Belgium",TV-MA,95,"Comedies, International Movies",2017.0
Movie,In the Shadow of Iris,Jalil Lespert,"Romain Duris, Charlotte Le Bon, Jalil Lespert, Camille Cottin, Adel Bencherif, Sophie Verbeeck, Hélène Barbry","France, Belgium",TV-MA,99,"Dramas, International Movies, Thrillers",2017.0
Movie,JFK: The Making of a President,Edward Cotterill,Not Available,United Kingdom,TV-PG,44,Documentaries,2017.0
Movie,Kiss & Cry,Sean Cisterna,"Sarah Fisher, Luke Bilyk, Chantal Kreviazuk, Sergio Di Zio, Denis Akiyama, Julia Tomasone, Brittany Bristow, Zoë Belkin, Lauren Esdale, Naomi Snieckus",Canada,TV-MA,93,"Dramas, International Movies, Romantic Movies",2017.0
Movie,Loev,Sudhanshu Saria,"Shiv Pandit, Dhruv Ganesh, Siddharth Menon, Rishabh Chaddha",India,TV-MA,89,"Dramas, Independent Movies, International Movies",2017.0
Movie,Mostly Sunny,Dilip Mehta,Sunny Leone,Canada,TV-MA,83,"Documentaries, International Movies",2017.0
Movie,The Next Skin,"Isaki Lacuesta, Isa Campo","Àlex Monner, Emma Suárez, Sergi López, Bruno Todeschini, Igor Szpakowski, Sílvia Bel, Greta Fernández, Mikel Iglesias","Spain, Switzerland",TV-MA,104,"Dramas, International Movies",2017.0
Movie,Casting JonBenet,Kitty Green,Not Available,"United States, Australia, China",TV-14,81,Documentaries,2017.0
